CNFW01002104.1	ERS027644SCcontig002104
CNFW01000720.1	ERS027644SCcontig000720
0028	CXWD01000028.1
LDNZ01000258.1	NODE_19_length_1363
GL629673.1	SCAFFOLD27
HK1c2840	JPDT01002834.1
0003	CXWD01000003.1
AABF01000147.1	Contig0243
CNFW01002934.1	ERS027644SCcontig002934
JJOY01000016.1	scaffold52_1_size2423-refined
JMSP01000503.1	JZAM01000380.1
LJRN01000180.1	PtoICMP2844_Contig_215
JXMU01000053.1	LJET02000215.1
AE016853.1	CP001820.1
LGUP01000146.1	P002contig222.1
LJQL01000129.1	PgyICMP2189_Contig_426
ADGX01000076.1	ctg00345
LAMX01000040.1	NODE_36
GG739993.1	supercont1.68
JMSP01000088.1	LJCS01000157.1
JYJF01000191.1	contig-190
CYAV01000130.1	ERS085366SCcontig000130
JZAM01000255.1	LJDX02000174.1
CNFW01002841.1	ERS027644SCcontig002841
LJET02000194.1	contig36
LGDE01000475.1	P404contig95.1
F6602contig4090.1	LGKH01003437.1
BBRT01000245.1	NODE_496
F6602contig1882.1	LGKH01000982.1
F6602contig4583.1	LGKH01003984.1
JMSO01000050.1	LJCS01000163.1
F6602contig1746.1	LGKH01000831.1
Contig157	LKBH01000065.1
LJET02000191.1	contig33
LIXH01000058.1	LKBH01000267.1
CNFW01002052.1	ERS027644SCcontig002052
F6602contig223.1	LGKH01001369.1
JMSP01000172.1	LJET02000109.1
HK1c0253	JPDT01000252.1
F6602contig2818.1	LGKH01002022.1
LJDX02000257.1	contig54
CNFW01002318.1	ERS027644SCcontig002318
GG668563.1	SCAFFOLD31
LJPT01000078.1	PatICMP4303_Contig_87
F6602contig4002.1	LGKH01003340.1
CP002130.1	CP002663.1
AEXM01000016.1	LGTK01000024.1
F6602contig2110.1	LGKH01001237.1
AKOY01000003.1	HpH_4.contig.2_1
JMSO01000067.1	JMSP01000254.1
AAI_A_2195_scaffold127	HE972648.1
CNFW01003817.1	ERS027644SCcontig003817
GG704573.1	JH470339.1
HK1c0397	JPDT01000396.1
LJET02000015.1	contig111
ADGX01000394.1	ctg00044
JMSP01000430.1	LJET02000102.1
CNFW01000166.1	ERS027644SCcontig000166
CP002526.1	FN563149.1
LGDE01000409.1	P404contig464.1
Contig87	LKBH01000299.1
F6602contig886.1	LGKH01005232.1
LITJ01000061.1	LKKT01000056.1
AE017243.1	CP001431.1
F6602contig5039.1	LGKH01004491.1
HK1c2114	JPDT01002111.1
CYFX01000118.1	ERS150873SCcontig000118
HK1c1614	JPDT01001611.1
JXCG01000016.1	JZAM01000016.1
AEJC01000189.1	gcontig_1108499714251
LDNZ01000187.1	NODE_201_contig193
AEJC01000616.1	gcontig_1108499718991
F6602contig500.1	LGKH01004448.1
AMSH01000111.1	LJET02000015.1
BRHa_1003421	LADY01000055.1
JAIW01000071.1	contig000071
LJQL01000166.1	PgyICMP2189_Contig_103
ADGX01000152.1	ctg00139
JPRF03000038.1	LFQK01000035.1
LGUW01000067.1	P092contig159.1
LGDW01000298.1	P435contig355.1
INSLA289_contig_267	LHAT01000267.1
AJQY01000282.1	Contig_282
HK1c0668	JPDT01000667.1
LJCS01000208.1	contig208
AM999887.1	CP010525.1
GG749020.1	KQ236747.1
CQZO01000158.1	ERS020178SCcontig000158
F6602contig1888.1	LGKH01000988.1
AMSH01000004.1	LJDX02000241.1
GG739927.1	JH414888.1
CP000769.1	CP001819.1
CP003389.1	HE965803.1
LJES02000209.1	L_contig000208
HK1c2939	JPDT01002933.1
JZAM01000107.1	contig107
JPRF03000048.1	LFQK01000044.1
JMSO01000023.1	contig039
AJQY01000321.1	Contig_321
JMSO01000170.1	LJET02000047.1
HK1c1449	JPDT01001446.1
B11479contig466.1	LFVR01000414.1
AQQZ01000024.1	contig24
HK1c0983	JPDT01000980.1
CP000661.1	CP002345.1
LJRP01000149.1	PttICMP459_Contig_133
BEN-C_U2A4042_Contig_10	CTEG01000002.1
CNFW01003135.1	ERS027644SCcontig003135
JX07_contig_42	LBNA01000023.1
LJDX02000072.1	LJET02000072.1
AE017243.1	AM167904.1
JYNY01000073.1	SAG11108
AAP93_Contigs_141	LJHZ01000141.1
LFQK01000112.1	LIUQ01000023.1
LGDW01000436.1	P435contig479.1
LGDW01000248.1	P435contig31.1
BLOI2_C04	LFDU01000004.1
LJCS01000012.1	contig012
CP002345.1	CP002403.1
CP002047.1	CU207366.1
F6602contig3998.1	LGKH01003333.1
LJCS01000258.1	contig258
CNFW01001443.1	ERS027644SCcontig001443
ABDA02000035	ABDA02000035.1
F6602contig4527.1	LGKH01003922.1
CP001431.1	CP002824.1
CBZV010000034.1	LIUQ01000057.1
JMSO01000070.1	contig086
JMSO01000353.1	contig316
JMSP01000565.1	contig516
LJCS01000160.1	LJET02000069.1
CXDQ01000406.1	ERS009857SCcontig000406
LGYD01000018.1	scf_44823_16.contig_1
CP000444.1	CP000611.1
AMSH01000060.1	JZAM01000060.1
JMSO01000289.1	LJCS01000192.1
JMSO01000278.1	LJDX02000067.1
F6602contig2017.1	LGKH01001133.1
CSXB01000006.1	ERS075544SCcontig000006
CBZV010000034.1	contig_34
BBRT01000028.1	NODE_124
LGUV01000119.1	P046contig199.1
JMSO01000480.1	contig480
HK1c0751	JPDT01000750.1
LGDW01000400.1	P435contig446.1
F6602contig1910.1	LGKH01001014.1
LDJX01000007.1	LJET02000231.1
F6602contig4935.1	LGKH01004375.1
LGDE01000005.1	P404contig102.1
CNFW01002251.1	ERS027644SCcontig002251
JZAM01000404.1	contig404
JMSO01000005.1	LJDX02000015.1
LDVT01000136.1	contig1265
F6602contig3506.1	LGKH01002788.1
AMSH01000117.1	contig117
F6602contig285.1	LGKH01002057.1
JXCW01000006.1	LJCS01000006.1
HK1c1221	JPDT01001218.1
JMSO01000339.1	JMSP01000468.1
F6602contig2975.1	LGKH01002197.1
AEJC01000201.1	gcontig_1108499729185
LJQL01000271.1	PgyICMP2189_Contig_53
JMSP01000103.1	LJDX02000032.1
JYJF01000192.1	contig-191
LJRD01000285.1	PreICMP16945_Contig_304
GG704581.1	JH376429.1
ACFB01000030.1	gcontig_1113107088558
AWFK01000027.1	M0483_027
CYAV01000242.1	ERS085366SCcontig000242
JYNY01000295.1	SAG1451
JPRF03000059.1	contig_54
LJPT01000160.1	PatICMP4303_Contig_119
CNFW01002273.1	ERS027644SCcontig002273
JQIP01000068.1	Sequence0000003960
LJPW01000149.1	PcaICMP2855_Contig_190
LHAT01000235	LHAT01000235.1
JZAM01000243.1	LJET02000161.1
LGUW01000112.1	P092contig2.1
JYJF01001118.1	contig-1121
HK1c1301	JPDT01001298.1
F6602contig505.1	LGKH01004503.1
LIUQ01000091.1	contig_96
F6602contig5342.1	LGKH01004828.1
LJQL01000052.1	PgyICMP2189_Contig_46
LFQK01000107.1	contig_113
CXPG01000023.1	CXWD01000023.1
HK1c2832	JPDT01002826.1
F6602contig3234.1	LGKH01002486.1
B11479contig482.1	LFVR01000432.1
JMSP01000452.1	LJCS01000254.1
CNFW01000463.1	ERS027644SCcontig000463
JMSP01000690.1	contig689
AKQN01000007.1	HpM1.contig.6
LFQK01000028.1	LIUQ01000047.1
LGDF01000040.1	P406contig133.1
CSXD01000078.1	ERS075547SCcontig000078
LITU01000067.1	contig_521
F6602contig1494.1	LGKH01000551.1
F6602contig1677.1	LGKH01000754.1
AJHJ01000030.1	LJCS01000030.1
JYJF01000445.1	contig-445
B11479contig161.1	LFVR01000070.1
F6602contig492.1	LGKH01004358.1
F6602contig118.1	LGKH01000202.1
CNFW01004005.1	ERS027644SCcontig004005
JYJF01000252.1	contig-252
LJPW01000064.1	PcaICMP2855_Contig_26
HK1c1446	JPDT01001443.1
LGTK01000108.1	contig00108
F6602contig2591.1	LGKH01001770.1
LFQK01000017.1	LITU01000006.1
LJDX02000125.1	contig210
AJQY01000044.1	Contig_044
JYNY01000619.1	SAG1947
JMSP01000455.1	JZAM01000257.1
LJDX02000198.1	contig277
JXMU01000015.1	LJDX02000057.1
F6602contig1072.1	LGKH01000083.1
CNFW01003713.1	ERS027644SCcontig003713
CYFX01000031.1	ERS150873SCcontig000031
LJDX02000045.1	LJET02000045.1
JX07_contig_6	LBNA01000043.1
JYNY01000464.1	SAG1726
CNFW01000352.1	ERS027644SCcontig000352
LHAT01000158	LHAT01000158.1
CP000907.1	pBWB404
B11479contig432.1	LFVR01000376.1
CNFW01002707.1	ERS027644SCcontig002707
CP001878.2	CP002526.1
LIUQ01000094.1	contig_306
AKQO01000010.1	HpM2.contig.9
F6602contig4307.1	LGKH01003678.1
JMSP01000091.1	contig183
JMSO01000146.1	JZAM01000115.1
CP001129.1	HE965803.1
LFQK01000023.1	LHQM01000020.1
ADDO01000060.1	contig00036
CNFW01004132.1	ERS027644SCcontig004132
LGEC01000110.1	P441contig56.1
CNFW01001600.1	ERS027644SCcontig001600
CNFW01002147.1	ERS027644SCcontig002147
CNFW01000742.1	ERS027644SCcontig000742
AMSH01000001.1	LJET02000001.1
JMSP01000363.1	contig467
CP000926.1	CP001878.2
AABF01000016.1	Contig0367
HK1c1711	JPDT01001708.1
AMSH01000023.1	contig23
AMSH01000007.1	JXMU01000007.1
LDNZ01000241.1	NODE_124_length_318
F6602contig4607.1	LGKH01004011.1
F6602contig679.1	LGKH01005002.1
CNFW01000655.1	ERS027644SCcontig000655
F6602contig726.1	LGKH01005055.1
DS999552.1	GL636947.1
ADDO01000035.1	LKKT01000019.1
LJPW01000079.1	PcaICMP2855_Contig_191
AJHJ01000049.1	JMSP01000308.1
JH376436.1	KQ236759.1
CNFW01003660.1	ERS027644SCcontig003660
JYJF01000269.1	contig-269
CNFW01001282.1	ERS027644SCcontig001282
JX07_contig_26	LBNA01000047.1
CNFW01003787.1	ERS027644SCcontig003787
LJRD01000429.1	PreICMP16945_Contig_451
CNFW01002735.1	ERS027644SCcontig002735
F6602contig2105.1	LGKH01001231.1
CVRS01000123.1	RIL183_74
LJET02000207.1	contig48
JMSP01000254.1	contig249
CNFW01001255.1	ERS027644SCcontig001255
F6602contig2883.1	LGKH01002094.1
LJCS01000044.1	contig044
CVRS01000135.1	RIL183_84
LGUV01000253.1	P046contig317.1
CNFW01002363.1	ERS027644SCcontig002363
HK1c1701	JPDT01001698.1
JMSP01000700.1	LJET02000231.1
AJHJ01000017.1	LJCS01000017.1
CNFW01003652.1	ERS027644SCcontig003652
CP001964.1	HE576794.1
AKJT01000112.1	PMI21_contig_139.139
LGUV01000007.1	P046contig104.1
LJDX02000012.1	LJET02000012.1
HK1c2391	JPDT01002388.1
HK1c0940	JPDT01000937.1
ALNM01000035.1	ctg120007584582
F6602contig4701.1	LGKH01004116.1
LJCS01000001.1	contig001
HK1c1807	JPDT01001804.1
GG749025.1	JH724277.1
BHUMctg317	LFMX01000290.1
JMSP01000337.1	contig433
CXDQ01000281.1	ERS009857SCcontig000281
LFQK01000101.1	contig_105
JMSP01000410.1	LJET02000040.1
JMSO01000218.1	LJDX02000080.1
JMSP01000309.1	LJCS01000224.1
JYNY01000526.1	SAG1820
JZAM01000158.1	LJET02000066.1
CNFW01000423.1	ERS027644SCcontig000423
AEJC01000082.1	gcontig_1108499712533
GG668550.1	GL629664.1
CP002663.1	FP929003.1
JZAM01000333.1	contig333
CYAV01000226.1	ERS085366SCcontig000226
JYJF01000836.1	contig-836
LGIQ01000011.1	super21
AEJC01000359.1	gcontig_1108499715973
BHUMctg347	LFMX01000320.1
F6602contig3204.1	LGKH01002453.1
Contig_14_UM158	LFCB01000015.1
AJHJ01000039.1	JMSP01000204.1
LGUV01000163.1	P046contig237.1
AEJC01000641.1	gcontig_1108499714285
JMSP01000617.1	contig594
CP002480.1	CP002573.1
LJDX02000133.1	contig218
F6602contig3745.1	LGKH01003053.1
CP003389.1	CU207366.1
F6602contig4570.1	LGKH01003970.1
JMSO01000383.1	contig365
LJDX02000272.1	LJET02000229.1
CXDQ01000007.1	ERS009857SCcontig000007
ABHU01000092.1	gcontig_1106613679346
B11479contig104.1	LFVR01000007.1
AAP38_Contigs_26	LJHR01000026.1
JPRF03000009.1	LFQK01000102.1
CNFW01003860.1	ERS027644SCcontig003860
F6602contig4229.1	LGKH01003591.1
AP009240.1	CP000926.1
JYJF01000493.1	contig-493
F6602contig1310.1	LGKH01000348.1
F6602contig1915.1	LGKH01001019.1
LGUP01000252.1	P002contig312.1
GG668567.1	SCAFFOLD35
AEJC01000395.1	gcontig_1108499715939
AABF01000263.1	Contig0106
LGEA01000157.1	P439contig76.1
CP000611.1	CP002573.1
HK1c0902	JPDT01000899.1
GG739942.1	supercont1.17
JZAM01000191.1	LJCS01000191.1
JMSO01000161.1	JMSP01000024.1
AE016853.1	CM001167.1
CTKE01000041.1	ERS008555SCcontig000041
LDNZ01000094.1	NODE_201_contig97
AMSH01000017.1	contig17
HK1c0633	JPDT01000632.1
LFMW01000040.1	sole5_rep_c164
F6602contig1959.1	LGKH01001067.1
JXCG01000005.1	JZAM01000005.1
CNFW01002919.1	ERS027644SCcontig002919
LGDW01000336.1	P435contig39.1
JMSO01000294.1	JZAM01000202.1
F6602contig408.1	LGKH01003425.1
CP002483.1	pACIX903
JYJF01000153.1	contig-152
F6602contig3621.1	LGKH01002916.1
LJES02000065.1	L_contig000064
JYNY01000140.1	SAG1193
LGEA01000092.1	P439contig20.1
AAI_A_2195_scaffold18	HE972539.1
JMSO01000314.1	JMSP01000448.1
JMSO01000210.1	LJCS01000016.1
HK1c0789	JPDT01000788.1
LFQK01000007.1	LIGE01000022.1
AEJC01000270.1	gcontig_1108499710245
LGTK01000003.1	LKKT01000003.1
B11479contig460.1	LFVR01000408.1
LJQL01000305.1	PgyICMP2189_Contig_383
GG739934.1	KQ236751.1
F6602contig2083.1	LGKH01001206.1
KQ236748.1	supercont1.6
CXZU01000044.1	ERS085374SCcontig000044
LGUP01000079.1	P002contig164.1
HK1c2634	JPDT01002630.1
AQQZ01000021.1	JXMU01000021.1
LJRD01000436.1	PreICMP16945_Contig_3
AAOS02000077.1	gcontig_1106166534758
LJQL01000144.1	PgyICMP2189_Contig_414
LJDX02000041.1	contig135
JMSP01000192.1	JZAM01000234.1
F6602contig1627.1	LGKH01000699.1
LJRN01000079.1	PtoICMP2844_Contig_289
LGTK01000139.1	contig00139
LJCS01000129.1	LJET02000034.1
CBZV010000004.1	LGCK01000006.1
LGDW01000391.1	P435contig438.1
LGDE01000050.1	P404contig143.1
LJPT01000062.1	PatICMP4303_Contig_134
HK1c2093	JPDT01002090.1
BHUMctg8	LFMX01000008.1
F6602contig1932.1	LGKH01001038.1
LGDE01000039.1	P404contig133.1
LGUW01000288.1	P092contig357.1
F6602contig4614.1	LGKH01004019.1
F6602contig4169.1	LGKH01003524.1
JMSO01000176.1	LJCS01000166.1
F6602contig4627.1	LGKH01004033.1
F6602contig3067.1	LGKH01002300.1
LDUI01000080	LDUI01000080.1
CNFW01002024.1	ERS027644SCcontig002024
JMSO01000141.1	contig182
HK1c1894	JPDT01001891.1
JZAM01000146.1	LJDX02000053.1
JXCG01000012.1	LJET02000024.1
JMSO01000244.1	contig027
LGUV01000156.1	P046contig230.1
JZAM01000211.1	LJCS01000211.1
JZAM01000160.1	LJDX02000069.1
JYJF01000847.1	contig-847
JMSP01000011.1	JZAM01000133.1
AEJC01000672.1	gcontig_1108499717581
HK1c2420	JPDT01002417.1
F6602contig4214.1	LGKH01003575.1
CXZU01000035.1	ERS085374SCcontig000035
LCAU01000007.1	UU48_C0007
BLOI2_C36	LFDU01000036.1
LFQK01000030.1	LHQM01000027.1
JMSP01000700.1	LDJX01000007.1
LITJ01000037.1	contig00037
JYJF01000863.1	contig-863
AJML01000030.1	ctg120004772307
AMSH01000035.1	contig35
AMSH01000083.1	contig83
F6602contig3236.1	LGKH01002488.1
CNFW01004334.1	ERS027644SCcontig004334
CNFW01003523.1	ERS027644SCcontig003523
GL629655.1	GL870937.1
LJRD01000323.1	PreICMP16945_Contig_309
CNFW01000363.1	ERS027644SCcontig000363
CNFW01003989.1	ERS027644SCcontig003989
F6602contig5307.1	LGKH01004789.1
LJRD01000300.1	PreICMP16945_Contig_190
B11479contig563.1	LFVR01000522.1
LJET02000137.1	contig221
HK1c1227	JPDT01001224.1
AMRN01000003.1	LDJX01000003.1
AMSH01000088.1	LJET02000251.1
LJRN01000034.1	PtoICMP2844_Contig_34
BLOI2_C38	LFDU01000038.1
AMSH01000006.1	JMSP01000335.1
LAMX01000016.1	NODE_6
CNFW01004213.1	ERS027644SCcontig004213
LFYT02000020.1	LimC-II-D5-C20
INSLA289_contig_287	LHAT01000287.1
F6602contig2051.1	LGKH01001171.1
F6602contig1325.1	LGKH01000364.1
HK1c2191	JPDT01002188.1
LJES02000145.1	L_contig000144
JYNY01000535.1	SAG1832
JMSO01000054.1	JMSP01000195.1
JMSP01000178.1	contig169
CNFW01002673.1	ERS027644SCcontig002673
LFQK01000047.1	contig_47
F6602contig2081.1	LGKH01001204.1
JYJF01000155.1	contig-154
ABDA02000034.1	gcontig_1113129653838
LGDE01000163.1	P404contig243.1
CNFW01003970.1	ERS027644SCcontig003970
JXMU01000014.1	contig14
JXCG01000043.1	LJET02000202.1
LJRD01000104.1	PreICMP16945_Contig_443
LGCK01000001.1	LKIU01000010.1
CNFW01000855.1	ERS027644SCcontig000855
F6602contig2578.1a	LGKH01001755.1
JMSP01000094.1	LJET02000182.1
AQQZ01000040.1	JZAM01000040.1
BRHa_1001386	LADU01000085.1
LJRN01000016.1	PtoICMP2844_Contig_151
LJQL01000336.1	PgyICMP2189_Contig_26
LGDW01000210.1	P435contig278.1
LJRP01000075.1	PttICMP459_Contig_16
AJQY01000106.1	Contig_106
AMSH01000109.1	LJET02000012.1
CNFW01002608.1	ERS027644SCcontig002608
JMSP01000414.1	LJCS01000146.1
AJHJ01000059.1	LJCS01000059.1
LJQB01000006.1	PcoICMP19117_Contig_54
JMSP01000543.1	JZAM01000473.1
LJES02000107.1	L_contig000106
JZAM01000163.1	LJDX02000072.1
DS999545.1	GG668539.1
JZAM01000104.1	LJCS01000104.1
JMSO01000123.1	contig041
HK1c1251	JPDT01001248.1
B11479contig150.1	LFVR01000058.1
CXDQ01000058.1	ERS009857SCcontig000058
CNFW01001540.1	ERS027644SCcontig001540
B11479contig645.1	LFVR01000613.1
JMSO01000031.1	LJCS01000211.1
JPRF03000060.1	contig_55
LFQK01000075.1	contig_75
CP000448.1	CP001229.1
F6602contig1774.1	LGKH01000862.1
LJCS01000135.1	contig135
B11479contig475.1	LFVR01000424.1
LJRD01000467.1	PreICMP16945_Contig_426
CNFW01003466.1	ERS027644SCcontig003466
AM421808.1	CP002526.1
JMSO01000295.1	LJET02000117.1
F6602contig2205.1a	LGKH01001342.1
F6602contig1608.1	LGKH01000678.1
JYNY01000023.1	SAG11024
CXDQ01000318.1	ERS009857SCcontig000318
CP000769.1	CP010525.1
AABF01000072.1	Contig0308
LJET02000171.1	contig252
CNFW01003618.1	ERS027644SCcontig003618
LITJ01000021.1	LKKT01000021.1
LITJ01000079.1	LKKT01000069.1
JYNY01000439.1	SAG1681
CP001878.2	HE965803.1
CNFW01003780.1	ERS027644SCcontig003780
INSLA289_contig_206	LHAT01000206.1
CP000410.2	CP001173.1
CNFW01004346.1	ERS027644SCcontig004346
GG739945.1	GL891998.1
LJQL01000191.1	PgyICMP2189_Contig_101
JMSO01000411.1	contig401
CYFX01000086.1	ERS150873SCcontig000086
F6602contig3979.1	LGKH01003312.1
JMSP01000087.1	LJDX02000127.1
CNFW01001980.1	ERS027644SCcontig001980
JMSP01000726.1	contig728
F6602contig4233.1	LGKH01003596.1
JYJF01000793.1	contig-793
JYJF01000492.1	contig-492
LGUW01000359.1	P092contig78.1
CM001167.1	CP002526.1
CNFW01003248.1	ERS027644SCcontig003248
CXDQ01000398.1	ERS009857SCcontig000398
AEXM01000004.1	LKKT01000012.1
LGUV01000345.1	P046contig47.2
CP002689.1	CU207366.1
B11479contig859.1	LFVR01000850.1
HK1c2995	JPDT01002989.1
DS999559.1	GG668553.1
AJQY01000130.1	Contig_130
JYNY01000385.1	SAG1594
ADGX01000339.1	ctg00123
F6602contig2509.1	LGKH01001679.1
BBRT01000067.1	NODE_167
JZAM01000226.1	LJCS01000226.1
AE004091.2	CP003243.1
F6602contig4308.1	LGKH01003679.1
AABF01000001.1	Contig0377
F6602contig5105.1	LGKH01004565.1
LGDE01000414.1	P404contig469.1
LJPW01000142.1	PcaICMP2855_Contig_130
BACI01000068.1	GOALK068.
ABHU01000076.1	gcontig_1106613679288
LJDX02000167.1	contig249
HK1c2880	JPDT01002874.1
CYAV01000177.1	ERS085366SCcontig000177
CNFW01002338.1	ERS027644SCcontig002338
LJRD01000457.1	PreICMP16945_Contig_504
JXMU01000012.1	JZAM01000012.1
AM421808.1	CP000903.1
LGDE01000221.1	P404contig295.1
LJRN01000018.1	PtoICMP2844_Contig_19
F6602contig4234.1	LGKH01003597.1
AJQY01000063.1	Contig_063
HK1c0750	JPDT01000749.1
LGUW01000050.1	P092contig143.1
LDVT01000072.1	contig1393
LJCS01000200.1	LJET02000114.1
HK1c0239	JPDT01000238.1
JYJF01000355.1	contig-355
HK1c1279	JPDT01001276.1
LGUP01000015.1	P002contig110.1
F6602contig5296.1	LGKH01004776.1
CBZV010000048.1	JPRF03000052.1
F6602contig2160.1	LGKH01001292.1
AJQY01000378.1	Contig_378
LDNZ01000085.1	NODE_201_contig88
LGDW01000234.1	P435contig298.1
LJRD01000307.1	PreICMP16945_Contig_192
F6602contig4781.1	LGKH01004204.1
LGUV01000346.1	P046contig48.1
AEJC01000611.1	gcontig_1108499731107
JMSP01000497.1	contig369
AJQY01000185.1	Contig_185
Contig_4_UM408_modified_	LFIU01000012.1
LFQK01000004.1	contig_4
LJES02000079.1	L_contig000078
ITZX_scaf_378	LJZR01000052.1
HK1c0219	JPDT01000218.1
ABDA02000009.1	gcontig_1113129653804
AMSH01000014.1	LJDX02000046.1
LJRD01000506.1	PreICMP16945_Contig_351
LJCS01000212.1	LJET02000127.1
AEJC01000190.1	gcontig_1108499718909
AEJC01000443.1	gcontig_1108499717511
JYNY01000481.1	SAG1749
BRHa_1006998	LADU01000076.1
LJDX02000095.1	LJET02000095.1
JMSO01000260.1	JMSP01000048.1
CXDQ01000034.1	ERS009857SCcontig000034
F6602contig2704.1	LGKH01001896.1
JMSP01000185.1	JZAM01000388.1
DS999542.1	SCAFFOLD4
GG668557.1	SCAFFOLD25
JMSP01000457.1	LJDX02000181.1
CNFW01004249.1	ERS027644SCcontig004249
GG668546.1	GL629660.1
AMSH01000017.1	AQQZ01000017.1
B11479contig448.1	LFVR01000393.1
ABHU01000048.1	gcontig_1106613680276
BRHa_1001988	LADU01000008.1
CNFW01001374.1	ERS027644SCcontig001374
JYJF01000391.1	contig-391
AAI_A_2195_scaffold69	HE972590.1
LGDE01000256.1	P404contig326.1
HK1c2059	JPDT01002056.1
LJCS01000133.1	LJET02000039.1
LGTK01000013.1	LKKT01000013.1
JQIT01000017.1	LIGE01000035.1
AJHJ01000009.1	contig09
LGDE01000415.1	P404contig47.1
AEJC01000160.1	gcontig_1108499708037
F6602contig2040.1	LGKH01001159.1
JMSO01000241.1	contig001
AJHJ01000022.1	JMSO01000175.1
AJQY01000405.1	Contig_405
LJDX02000277.1	LJET02000234.1
CNFW01003645.1	ERS027644SCcontig003645
JMSP01000477.1	contig308
CNFW01003583.1	ERS027644SCcontig003583
LJRD01000292.1	PreICMP16945_Contig_20
F6602contig4941.1a	LGKH01004382.1
GG749029.1	KQ236756.1
JZAM01000107.1	LJDX02000010.1
F6602contig3257.1	LGKH01002511.1
LGIT01000002.1	NODE_16_length_951_cov_201.608_ID_31
LGUW01000041.1	P092contig135.1
F6602contig3713.1	LGKH01003018.1
CP002905.1	FP929003.1
JYNY01000469.1	SAG1733
JMSP01000501.1	JZAM01000378.1
LGUV01000267.1	P046contig33.1
LFQK01000006.1	contig_6
JMSO01000204.1	LJDX02000105.1
JYJF01000456.1	contig-456
ITZX_scaf_696	LJZR01000074.1
B11479contig609.11	LFVR01000573.1
CNFW01001876.1	ERS027644SCcontig001876
LJES02000232.1	L_contig000231
AMSH01000059.1	JXMU01000057.1
F6602contig1245.1	LGKH01000275.1
JYNY01000209.1	SAG1310
CNFW01000353.1	ERS027644SCcontig000353
LDNZ01000062.1	NODE_201_contig65
B11479contig769.1	LFVR01000750.1
LGDF01000005.1	P406contig102.1
HK1c2306	JPDT01002303.1
CNFW01003356.1	ERS027644SCcontig003356
LDVT01000123.1	contig1291
JYNY01000238.1	SAG1364
ADGX01000307.1	ctg00079
F6602contig4693.1	LGKH01004106.1
AJHJ01000102.1	contig0102
LGDW01000071.1	P435contig158.1
LGUP01000064.1	P002contig151.1
CYAV01000168.1	ERS085366SCcontig000168
AAP83_Contigs_45	LJHY01000045.1
HK1c1087	JPDT01001084.1
JMSP01000346.1	LJDX02000087.1
LGTK01000043.1	LITJ01000043.1
JMSO01000231.1	JZAM01000147.1
BHUMctg375	LFMX01000337.1
CP000487.1	CP001056.1
LJCS01000148.1	LJET02000055.1
F6602contig2617.1	LGKH01001799.1
F6602contig2114.1	LGKH01001241.1
JMSP01000744.1	contig746
JMSO01000347.1	JMSP01000477.1
AQQZ01000040.1	JXMU01000039.1
Contig56	LKBH01000265.1
LGTK01000074.1	contig00074
LGUW01000308.1	P092contig375.1
LGTK01000120.1	contig00120
CNFW01001320.1	ERS027644SCcontig001320
JMSO01000240.1	LJDX02000048.1
AMRN01000013.1	AMSH01000013.1
F6602contig1576.1	LGKH01000642.1
HK1c1784	JPDT01001781.1
AE004091.2	CP002345.1
JMSP01000004.1	contig221
LGDE01000263.1	P404contig332.1
LJDX02000170.1	LJET02000170.1
LJDX02000263.1	contig6
HK1c0702	JPDT01000701.1
LJDX02000046.1	contig14
B11479contig304.1	LFVR01000231.1
AABF01000053.1	Contig0325
CP001962.1	FP929003.1
CNFW01000419.1	ERS027644SCcontig000419
LJPW01000145.1	PcaICMP2855_Contig_199
CNFW01002445.1	ERS027644SCcontig002445
AJHJ01000034.1	JMSP01000023.1
LFQK01000030.1	LIUQ01000017.1
JMSP01000312.1	JZAM01000198.1
CP002017.1	CP011968.1
LGUV01000099.1	P046contig184.1
CSXD01000050.1	ERS075547SCcontig000050
GG739936.1	GL891989.1
AJHJ01000078.1	LJCS01000078.1
LGDF01000067.1	P406contig158.1
LJCS01000144.1	LJDX02000051.1
F6602contig3501.1	LGKH01002783.1
LJCS01000118.1	LJDX02000022.1
LGUP01000228.1	P002contig291.1
B11479contig132.1	LFVR01000038.1
F6602contig2435.1	LGKH01001597.1
F6602contig2409.1a	LGKH01001568.1
JYJF01000084.1	contig-83
F6602contig127.1	LGKH01000302.1
BBRT01000260.1	NODE_529
LDNZ01000288.1	NODE_76_length_2654
ITZX_scaf_1393	LJZR01000117.1
AABF01000154.1	Contig0231
JMSP01000053.1	LJCS01000031.1
JYNY01000350.1	SAG1539
LGDW01000328.1	P435contig382.1
BLOI2_C15	LFDU01000015.1
LJET02000259.1	contig95
AJHJ01000093.1	LJCS01000093.1
LJRN01000156.1	PtoICMP2844_Contig_173
AGIK01000013.1	ctg39
HK1c1837	JPDT01001834.1
CSXB01000065.1	ERS075544SCcontig000065
AMSH01000032.1	JXCG01000032.1
F6602contig668.1	LGKH01004990.1
AMSH01000050.1	AQQZ01000050.1
BRHa_1002797	LADU01000067.1
JMSP01000175.1	contig293
CNFW01003974.1	ERS027644SCcontig003974
HK1c1441	JPDT01001438.1
CXDQ01000277.1	ERS009857SCcontig000277
JXCG01000018.1	LJET02000090.1
F6602contig2344.1	LGKH01001496.1
GG739957.1	JH376451.1
CNFW01003991.1	ERS027644SCcontig003991
CYAV01000199.1	ERS085366SCcontig000199
F6602contig3103.1	LGKH01002341.1
